"Starting_clues","Basic","Basic_solved","Hidden","Candidates","Xwing","Solved","Start_overs","Elapsed_time","Max_count","Difficulty_Level","Actual_difficulty","Board","Solution"
38,5,43,0,0,0,81,0,0.4636712074279785,50,0,0,"[[7| 0| 0| 0| 0| 4| 1| 0| 5]| [3| 0| 4| 0| 1| 0| 6| 0| 9]| [0| 1| 0| 0| 7| 0| 3| 8| 0]| [0| 0| 0| 0| 8| 0| 0| 9| 3]| [5| 0| 0| 6| 0| 9| 4| 0| 0]| [0| 0| 3| 0| 0| 0| 0| 0| 7]| [1| 0| 0| 0| 6| 7| 8| 4| 2]| [0| 0| 7| 0| 0| 8| 0| 0| 0]| [9| 4| 0| 0| 0| 0| 7| 5| 0]]","[[7| 8| 6| 3| 9| 4| 1| 2| 5]| [3| 5| 4| 8| 1| 2| 6| 7| 9]| [2| 1| 9| 5| 7| 6| 3| 8| 4]| [4| 6| 1| 7| 8| 5| 2| 9| 3]| [5| 7| 2| 6| 3| 9| 4| 1| 8]| [8| 9| 3| 2| 4| 1| 5| 6| 7]| [1| 3| 5| 9| 6| 7| 8| 4| 2]| [6| 2| 7| 4| 5| 8| 9| 3| 1]| [9| 4| 8| 1| 2| 3| 7| 5| 6]]"
37,5,44,0,0,0,81,0,0.5026593208312988,50,0,0,"[[3| 0| 5| 2| 1| 0| 0| 0| 0]| [0| 6| 0| 5| 0| 0| 0| 0| 0]| [0| 1| 0| 7| 4| 8| 0| 0| 0]| [6| 4| 0| 0| 0| 5| 0| 2| 0]| [0| 2| 0| 0| 6| 4| 9| 0| 0]| [1| 8| 0| 3| 0| 0| 0| 6| 0]| [0| 0| 1| 0| 0| 0| 6| 3| 0]| [7| 0| 0| 0| 0| 0| 0| 4| 2]| [0| 3| 6| 0| 2| 0| 5| 8| 7]]","[[3| 7| 5| 2| 1| 6| 8| 9| 4]| [8| 6| 4| 5| 3| 9| 2| 7| 1]| [9| 1| 2| 7| 4| 8| 3| 5| 6]| [6| 4| 3| 1| 9| 5| 7| 2| 8]| [5| 2| 7| 8| 6| 4| 9| 1| 3]| [1| 8| 9| 3| 7| 2| 4| 6| 5]| [2| 5| 1| 4| 8| 7| 6| 3| 9]| [7| 9| 8| 6| 5| 3| 1| 4| 2]| [4| 3| 6| 9| 2| 1| 5| 8| 7]]"
38,8,43,0,0,0,81,1,2.0908565521240234,50,0,0,"[[0| 9| 3| 0| 0| 0| 2| 0| 5]| [6| 7| 0| 4| 3| 5| 0| 0| 1]| [1| 8| 5| 2| 0| 0| 0| 0| 0]| [0| 0| 4| 0| 0| 3| 0| 0| 0]| [3| 0| 0| 7| 8| 0| 0| 9| 0]| [8| 5| 7| 9| 0| 0| 0| 4| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 6| 8| 7| 0| 0]| [5| 4| 0| 3| 9| 0| 6| 0| 8]]","[[4| 9| 3| 8| 1| 6| 2| 7| 5]| [6| 7| 2| 4| 3| 5| 9| 8| 1]| [1| 8| 5| 2| 7| 9| 4| 6| 3]| [9| 2| 4| 6| 5| 3| 8| 1| 7]| [3| 1| 6| 7| 8| 4| 5| 9| 2]| [8| 5| 7| 9| 2| 1| 3| 4| 6]| [7| 6| 8| 5| 4| 2| 1| 3| 9]| [2| 3| 9| 1| 6| 8| 7| 5| 4]| [5| 4| 1| 3| 9| 7| 6| 2| 8]]"
38,9,43,0,0,0,81,0,0.40398287773132324,50,0,0,"[[0| 7| 9| 0| 0| 0| 0| 0| 0]| [6| 0| 0| 0| 2| 9| 0| 0| 0]| [1| 4| 0| 0| 5| 0| 0| 2| 8]| [0| 1| 0| 0| 0| 8| 0| 6| 0]| [8| 0| 0| 5| 0| 0| 0| 3| 0]| [5| 3| 4| 7| 0| 0| 8| 9| 2]| [0| 0| 0| 0| 3| 4| 0| 8| 0]| [0| 0| 0| 0| 8| 0| 0| 0| 3]| [3| 9| 0| 0| 7| 6| 0| 5| 1]]","[[2| 7| 9| 8| 1| 3| 5| 4| 6]| [6| 8| 5| 4| 2| 9| 3| 1| 7]| [1| 4| 3| 6| 5| 7| 9| 2| 8]| [9| 1| 2| 3| 4| 8| 7| 6| 5]| [8| 6| 7| 5| 9| 2| 1| 3| 4]| [5| 3| 4| 7| 6| 1| 8| 9| 2]| [7| 5| 6| 1| 3| 4| 2| 8| 9]| [4| 2| 1| 9| 8| 5| 6| 7| 3]| [3| 9| 8| 2| 7| 6| 4| 5| 1]]"
37,11,44,0,0,0,81,0,0.4086308479309082,50,0,0,"[[5| 0| 0| 0| 6| 0| 4| 2| 7]| [0| 0| 0| 0| 0| 2| 3| 9| 0]| [0| 2| 3| 0| 5| 4| 0| 6| 1]| [0| 0| 0| 0| 3| 7| 0| 0| 0]| [0| 7| 0| 2| 0| 0| 0| 1| 0]| [0| 3| 9| 0| 4| 0| 0| 0| 0]| [0| 9| 0| 3| 2| 0| 0| 5| 0]| [7| 0| 0| 6| 8| 5| 0| 0| 0]| [0| 0| 5| 4| 0| 9| 0| 0| 6]]","[[5| 8| 1| 9| 6| 3| 4| 2| 7]| [4| 6| 7| 8| 1| 2| 3| 9| 5]| [9| 2| 3| 7| 5| 4| 8| 6| 1]| [2| 5| 6| 1| 3| 7| 9| 4| 8]| [8| 7| 4| 2| 9| 6| 5| 1| 3]| [1| 3| 9| 5| 4| 8| 6| 7| 2]| [6| 9| 8| 3| 2| 1| 7| 5| 4]| [7| 4| 2| 6| 8| 5| 1| 3| 9]| [3| 1| 5| 4| 7| 9| 2| 8| 6]]"
37,16,44,0,0,0,81,0,0.3489558696746826,50,0,0,"[[3| 7| 0| 1| 5| 0| 8| 0| 0]| [5| 0| 0| 0| 0| 0| 7| 0| 0]| [8| 0| 4| 0| 6| 0| 0| 0| 0]| [0| 0| 0| 7| 0| 2| 0| 5| 6]| [2| 0| 1| 0| 0| 6| 0| 0| 9]| [0| 0| 3| 0| 1| 9| 0| 0| 0]| [6| 2| 7| 4| 8| 0| 9| 1| 0]| [0| 0| 0| 0| 0| 0| 2| 8| 0]| [1| 0| 0| 0| 2| 5| 0| 0| 7]]","[[3| 7| 6| 1| 5| 4| 8| 9| 2]| [5| 1| 2| 3| 9| 8| 7| 6| 4]| [8| 9| 4| 2| 6| 7| 5| 3| 1]| [4| 8| 9| 7| 3| 2| 1| 5| 6]| [2| 5| 1| 8| 4| 6| 3| 7| 9]| [7| 6| 3| 5| 1| 9| 4| 2| 8]| [6| 2| 7| 4| 8| 3| 9| 1| 5]| [9| 4| 5| 6| 7| 1| 2| 8| 3]| [1| 3| 8| 9| 2| 5| 6| 4| 7]]"
37,11,44,0,0,0,81,0,0.4726431369781494,50,0,0,"[[0| 0| 0| 0| 5| 0| 0| 0| 0]| [9| 0| 1| 0| 3| 0| 0| 0| 4]| [0| 0| 0| 1| 0| 4| 0| 0| 9]| [7| 0| 0| 0| 0| 2| 8| 0| 5]| [0| 0| 4| 5| 0| 8| 0| 9| 3]| [5| 0| 0| 0| 0| 0| 0| 0| 0]| [2| 1| 0| 4| 9| 3| 7| 8| 6]| [0| 7| 0| 0| 0| 5| 0| 3| 2]| [0| 3| 0| 0| 2| 7| 0| 4| 0]]","[[3| 4| 7| 2| 5| 9| 1| 6| 8]| [9| 8| 1| 7| 3| 6| 2| 5| 4]| [6| 5| 2| 1| 8| 4| 3| 7| 9]| [7| 6| 3| 9| 4| 2| 8| 1| 5]| [1| 2| 4| 5| 7| 8| 6| 9| 3]| [5| 9| 8| 3| 6| 1| 4| 2| 7]| [2| 1| 5| 4| 9| 3| 7| 8| 6]| [4| 7| 6| 8| 1| 5| 9| 3| 2]| [8| 3| 9| 6| 2| 7| 5| 4| 1]]"
38,7,43,0,0,0,81,0,0.4265005588531494,50,0,0,"[[3| 0| 0| 0| 0| 0| 5| 0| 1]| [9| 0| 0| 8| 0| 5| 4| 0| 3]| [0| 0| 6| 7| 3| 1| 0| 9| 2]| [0| 6| 0| 0| 7| 9| 1| 0| 8]| [0| 0| 0| 0| 2| 0| 0| 0| 0]| [0| 0| 8| 1| 0| 0| 3| 2| 0]| [0| 0| 0| 0| 4| 0| 7| 0| 5]| [7| 0| 5| 6| 0| 0| 0| 1| 0]| [8| 2| 0| 0| 0| 0| 9| 0| 0]]","[[3| 8| 7| 2| 9| 4| 5| 6| 1]| [9| 1| 2| 8| 6| 5| 4| 7| 3]| [5| 4| 6| 7| 3| 1| 8| 9| 2]| [2| 6| 3| 4| 7| 9| 1| 5| 8]| [1| 5| 9| 3| 2| 8| 6| 4| 7]| [4| 7| 8| 1| 5| 6| 3| 2| 9]| [6| 3| 1| 9| 4| 2| 7| 8| 5]| [7| 9| 5| 6| 8| 3| 2| 1| 4]| [8| 2| 4| 5| 1| 7| 9| 3| 6]]"
38,7,43,0,0,0,81,0,0.407940149307251,50,0,0,"[[0| 0| 0| 0| 0| 7| 2| 0| 5]| [2| 0| 0| 8| 0| 0| 7| 4| 0]| [5| 0| 0| 0| 9| 0| 0| 1| 8]| [0| 0| 5| 0| 0| 0| 9| 8| 4]| [7| 4| 9| 0| 0| 3| 0| 2| 0]| [0| 8| 0| 0| 0| 0| 5| 3| 0]| [0| 0| 0| 1| 0| 0| 3| 0| 0]| [0| 0| 1| 3| 5| 2| 0| 0| 0]| [3| 0| 4| 9| 7| 6| 0| 0| 0]]","[[4| 1| 8| 6| 3| 7| 2| 9| 5]| [2| 9| 6| 8| 1| 5| 7| 4| 3]| [5| 7| 3| 2| 9| 4| 6| 1| 8]| [6| 3| 5| 7| 2| 1| 9| 8| 4]| [7| 4| 9| 5| 8| 3| 1| 2| 6]| [1| 8| 2| 4| 6| 9| 5| 3| 7]| [9| 5| 7| 1| 4| 8| 3| 6| 2]| [8| 6| 1| 3| 5| 2| 4| 7| 9]| [3| 2| 4| 9| 7| 6| 8| 5| 1]]"
38,4,43,0,0,0,81,0,0.4030327796936035,50,0,0,"[[5| 0| 9| 4| 1| 0| 0| 8| 7]| [0| 1| 8| 3| 7| 0| 0| 0| 2]| [0| 2| 7| 6| 0| 0| 5| 0| 1]| [0| 5| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 3| 0| 9| 0| 2| 0| 0]| [0| 7| 0| 5| 0| 0| 0| 6| 9]| [0| 4| 5| 0| 2| 0| 0| 0| 0]| [8| 3| 0| 9| 0| 0| 0| 0| 0]| [2| 0| 0| 0| 4| 0| 0| 1| 5]]","[[5| 6| 9| 4| 1| 2| 3| 8| 7]| [4| 1| 8| 3| 7| 5| 6| 9| 2]| [3| 2| 7| 6| 8| 9| 5| 4| 1]| [9| 5| 4| 2| 6| 8| 1| 7| 3]| [6| 8| 3| 7| 9| 1| 2| 5| 4]| [1| 7| 2| 5| 3| 4| 8| 6| 9]| [7| 4| 5| 1| 2| 6| 9| 3| 8]| [8| 3| 1| 9| 5| 7| 4| 2| 6]| [2| 9| 6| 8| 4| 3| 7| 1| 5]]"
